  96 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterDriverVersion: 9.17.10.3347
  48 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0102, AdapterDriverVersion: 9.17.10.3347
  42 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterDriverVersion: 10.18.10.3958
  42 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0106, AdapterDriverVersion: 9.17.10.3347
  41 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0046, AdapterDriverVersion: 8.15.10.2993
  40 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0046, AdapterDriverVersion: 8.15.10.2900
  39 Cisco VPN
  27 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterDriverVersion: 8.15.10.2869
  27 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0a16, AdapterDriverVersion: 10.18.10.3960
  27 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterDriverVersion: 9.17.10.3517
  24 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0046, AdapterDriverVersion: 8.15.10.2622
  22 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a42, AdapterDriverVersion: 8.15.10.2869
  22 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a42, AdapterDriverVersion: 8.15.10.2302
  21 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a02, AdapterDriverVersion: 8.15.10.1749
  19 DriverVersionMismatch
  19 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterDriverVersion: 8.15.10.2702
  19 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterDriverVersion: 10.18.10.3308
  18 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterDriverVersion: 8.15.10.2104
  17 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterDriverVersion: 10.18.10.3621
  17 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0126, AdapterDriverVersion: 9.17.10.3347
  17 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0046, AdapterDriverVersion: 8.15.10.2104
  17 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0042, AdapterDriverVersion: 8.15.10.2622
  17 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a65, AdapterDriverVersion: 9.18.13.4052
  16 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a42, AdapterDriverVersion: 8.15.10.2702
  16 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6760, AdapterDriverVersion: 8.882.2.0
  15 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0f31, AdapterDriverVersion: 10.18.10.3408
  14 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterDriverVersion: 9.17.10.2932
  14 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0102, AdapterDriverVersion: 9.17.10.3517
  13 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterDriverVersion: 8.15.10.2555
  13 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterDriverVersion: 10.18.10.3304
  12 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterDriverVersion: 8.15.10.2302
  12 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0a16, AdapterDriverVersion: 10.18.10.3412
  12 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterDriverVersion: 9.17.10.3223
  12 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0102, AdapterDriverVersion: 8.15.10.2559
  11 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a42, AdapterDriverVersion: 8.15.10.2555
  11 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0a16, AdapterDriverVersion: 10.18.10.3345
  11 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0412, AdapterDriverVersion: 10.18.10.3960
  11 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterDriverVersion: 9.17.10.2963
  11 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterDriverVersion: 9.17.10.2867
  11 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0156, AdapterDriverVersion: 10.18.10.3958
  11 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterDriverVersion: 8.15.10.2559
  11 AdapterVendorID: 0x10de, AdapterDeviceID: 0x11c0, AdapterDriverVersion: 9.18.13.4752
  10 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e12, AdapterDriverVersion: 8.15.10.2869
  10 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterDriverVersion: 9.17.10.2768
  10 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterDriverVersion: 9.17.10.2963
  10 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterDriverVersion: 8.15.10.2361
  10 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterDriverVersion: 8.15.10.2345
  10 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0106, AdapterDriverVersion: 9.17.10.3517
  10 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0102, AdapterDriverVersion: 8.15.10.2418
  10 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0102, AdapterDriverVersion: 8.15.10.2361
  10 AdapterVendorID: 0x10de, AdapterDeviceID: 0x13c2, AdapterDriverVersion: 9.18.13.4752
  10 AdapterVendorID: 0x10de, AdapterDeviceID: 0x10c3, AdapterDriverVersion: 8.17.12.5919
   9 AdapterVendorID: 0x8086, AdapterDeviceID: 0x1616, AdapterDriverVersion: 10.18.10.3960
   9 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0a16, AdapterDriverVersion: 10.18.10.3496
   9 AdapterVendorID: 0x8086, AdapterDeviceID: 0x041e, AdapterDriverVersion: 10.18.10.3960
   9 AdapterVendorID: 0x8086, AdapterDeviceID: 0x041e, AdapterDriverVersion: 10.18.10.3412
   9 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0416, AdapterDriverVersion: 10.18.10.3960
   9 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterDriverVersion: 9.17.10.2828
   9 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterDriverVersion: 10.18.10.3431
   9 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterDriverVersion: 10.18.10.3345
   9 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0152, AdapterDriverVersion: 10.18.10.3345
   9 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterDriverVersion: 9.17.10.3372
   9 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0046, AdapterDriverVersion: 8.15.10.2202
   9 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0fc6, AdapterDriverVersion: 9.18.13.4752
   9 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6740, AdapterDriverVersion: 8.882.2.3000
   8 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0416, AdapterDriverVersion: 10.18.10.3277
   8 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterDriverVersion: 9.17.10.2843
   8 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterDriverVersion: 10.18.10.3412
   8 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0152, AdapterDriverVersion: 9.17.10.2932
   8 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0152, AdapterDriverVersion: 9.17.10.2867
   8 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterDriverVersion: 8.15.10.2342
   8 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0106, AdapterDriverVersion: 9.17.10.3062
   8 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0102, AdapterDriverVersion: 8.15.10.2618
   8 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0046, AdapterDriverVersion: 8.15.10.2559
   8 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a7a, AdapterDriverVersion: 8.17.12.5993
   7 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0a16, AdapterDriverVersion: 10.18.10.3355
   7 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterDriverVersion: 9.17.10.3114
   7 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterDriverVersion: 9.17.10.2849
   7 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterDriverVersion: 10.18.10.3496
   7 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0156, AdapterDriverVersion: 9.17.10.2867
   7 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterDriverVersion: 9.17.10.2867
   7 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0046, AdapterDriverVersion: 8.15.10.2827
   7 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0046, AdapterDriverVersion: 8.15.10.2189
   7 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9806, AdapterDriverVersion: 8.861.0.0
   7 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6760, AdapterDriverVersion: 8.801.3.1000
   6 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterDriverVersion: 8.15.10.1851
   6 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a42, AdapterDriverVersion: 8.15.10.2202
   6 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a42, AdapterDriverVersion: 8.15.10.1808
