  39 Cisco VPN
  19 DriverVersionMismatch
  17 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 00000000, AdapterDriverVersion: 8.15.10.2104
  14 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterSubsysID: 00000000, AdapterDriverVersion: 9.17.10.3347
  13 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0046, AdapterSubsysID: 392017aa, AdapterDriverVersion: 8.15.10.2104
  12 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 00000000, AdapterDriverVersion: 8.15.10.2869
  12 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0f31, AdapterSubsysID: 2213103c, AdapterDriverVersion: 10.18.10.3408
  10 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0102, AdapterSubsysID: 00000000, AdapterDriverVersion: 9.17.10.3347
   9 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterSubsysID: 100d1043, AdapterDriverVersion: 10.18.10.3308
   9 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0152, AdapterSubsysID: 00000000, AdapterDriverVersion: 10.18.10.3345
   9 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0106, AdapterSubsysID: 00000000, AdapterDriverVersion: 9.17.10.3347
   8 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a7a, AdapterSubsysID: 00000000, AdapterDriverVersion: 8.17.12.5993
   7 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 00000000, AdapterDriverVersion: 8.15.10.2702
   7 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0a16, AdapterSubsysID: 06511028, AdapterDriverVersion: 10.18.10.3412
   7 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0412, AdapterSubsysID: 00000000, AdapterDriverVersion: 10.18.10.3960
   7 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0046, AdapterSubsysID: 00000000, AdapterDriverVersion: 8.15.10.2900
   7 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6760, AdapterSubsysID: 166e103c, AdapterDriverVersion: 8.882.2.0
   6 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 00000000, AdapterDriverVersion: 8.15.10.2302
   6 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a02, AdapterSubsysID: 20b517aa, AdapterDriverVersion: 8.15.10.1749
   6 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterSubsysID: 397717aa, AdapterDriverVersion: 10.18.10.3958
   6 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterSubsysID: 124d1043, AdapterDriverVersion: 9.17.10.2932
   6 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0102, AdapterSubsysID: 20178086, AdapterDriverVersion: 9.17.10.3347
   6 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0102, AdapterSubsysID: 00000000, AdapterDriverVersion: 8.15.10.2618
   6 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0042, AdapterSubsysID: 00000000, AdapterDriverVersion: 8.15.10.2104
   6 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a65, AdapterSubsysID: 00000000, AdapterDriverVersion: 9.18.13.4052
   6 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a65, AdapterSubsysID: 00000000, AdapterDriverVersion: 8.17.12.8026
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 00000000, AdapterDriverVersion: 8.15.10.1851
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e12, AdapterSubsysID: 3035103c, AdapterDriverVersion: 8.15.10.2869
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a42, AdapterSubsysID: 00000000, AdapterDriverVersion: 8.15.10.2702
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a42, AdapterSubsysID: 00000000, AdapterDriverVersion: 8.15.10.2302
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0f31, AdapterSubsysID: 2209103c, AdapterDriverVersion: 10.18.10.3366
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x041e, AdapterSubsysID: 00000000, AdapterDriverVersion: 10.18.10.3960
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterSubsysID: 00000000, AdapterDriverVersion: 10.18.10.3345
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterSubsysID: 00000000, AdapterDriverVersion: 10.18.10.3304
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterSubsysID: 05071025, AdapterDriverVersion: 8.15.10.2345
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterSubsysID: 05061025, AdapterDriverVersion: 9.17.10.3517
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterSubsysID: 05061025, AdapterDriverVersion: 8.15.10.2345
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterSubsysID: 00000000, AdapterDriverVersion: 9.17.10.3517
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0106, AdapterSubsysID: 397517aa, AdapterDriverVersion: 9.17.10.3347
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0102, AdapterSubsysID: 04ad1028, AdapterDriverVersion: 8.15.10.2418
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0102, AdapterSubsysID: 00000000, AdapterDriverVersion: 9.17.10.3517
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0102, AdapterSubsysID: 00000000, AdapterDriverVersion: 8.15.10.2361
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0046, AdapterSubsysID: 04661028, AdapterDriverVersion: 8.15.10.2622
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0046, AdapterSubsysID: 00000000, AdapterDriverVersion: 8.15.10.2993
   5 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0fc6, AdapterSubsysID: 00000000, AdapterDriverVersion: 9.18.13.4752
   5 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9807, AdapterSubsysID: 05981025, AdapterDriverVersion: 8.861.0.0
   5 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6760, AdapterSubsysID: 1669103c, AdapterDriverVersion: 8.801.3.1000
   5 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6740, AdapterSubsysID: 1657103c, AdapterDriverVersion: 8.882.2.3000
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 22601019, AdapterDriverVersion: 8.15.10.2702
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a42, AdapterSubsysID: 00000000, AdapterDriverVersion: 8.15.10.2869
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a02, AdapterSubsysID: 022f1028, AdapterDriverVersion: 8.15.10.1749
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x1616, AdapterSubsysID: 2295103c, AdapterDriverVersion: 10.18.10.3960
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0a16, AdapterSubsysID: 1946103c, AdapterDriverVersion: 9.18.10.3272
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x041e, AdapterSubsysID: 00000000, AdapterDriverVersion: 9.18.10.3186
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x041e, AdapterSubsysID: 00000000, AdapterDriverVersion: 10.18.10.3412
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0416, AdapterSubsysID: 1965103c, AdapterDriverVersion: 10.18.10.3277
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0402, AdapterSubsysID: 04028086, AdapterDriverVersion: 10.18.14.4080
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterSubsysID: 05971028, AdapterDriverVersion: 10.18.10.3958
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterSubsysID: 00000000, AdapterDriverVersion: 9.17.10.2875
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0156, AdapterSubsysID: 00000000, AdapterDriverVersion: 10.18.10.3282
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0152, AdapterSubsysID: 77881462, AdapterDriverVersion: 9.17.10.2867
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0152, AdapterSubsysID: 00000000, AdapterDriverVersion: 9.17.10.2884
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0152, AdapterSubsysID: 00000000, AdapterDriverVersion: 10.18.10.3412
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterSubsysID: 397d17aa, AdapterDriverVersion: 9.17.10.3347
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterSubsysID: 3673103c, AdapterDriverVersion: 9.17.10.3347
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterSubsysID: 3672103c, AdapterDriverVersion: 9.17.10.3347
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterSubsysID: 06491025, AdapterDriverVersion: 9.17.10.3347
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterSubsysID: 04d71028, AdapterDriverVersion: 9.17.10.3347
