 286 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166
 277 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116
 212 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0046
 188 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0102
 148 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0a16
 130 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0106
 112 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32
 105 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a42
  94 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0152
  72 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a65
  69 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0156
  53 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0f31
  53 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0042
  52 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6760
  51 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0416
  48 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0126
  45 AdapterVendorID: 0x8086, AdapterDeviceID: 0x041e
  39 Cisco VPN
  36 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0412
  30 AdapterVendorID: 0x1002, AdapterDeviceID: 0x68e0
  27 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9802
  24 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e12
  22 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a02
  21 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9806
  21 AdapterVendorID: 0x1002, AdapterDeviceID: 0x68f9
  20 AdapterVendorID: 0x8086, AdapterDeviceID: 0x1616
  20 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0402
  19 DriverVersionMismatch
  18 AdapterVendorID: 0x10de, AdapterDeviceID: 0x10c3
  17 AdapterVendorID: 0x10de, AdapterDeviceID: 0x104a
  15 AdapterVendorID: 0x10de, AdapterDeviceID: 0x11c0
  15 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0fc6
  15 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6740
  14 AdapterVendorID: 0x10de, AdapterDeviceID: 0x13c2
  14 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0ca3
  13 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0f00
  12 AdapterVendorID: 0x1002, AdapterDeviceID: 0x68c1
  11 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a20
  10 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1187
  10 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a75
  10 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a6c
  10 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9809
   9 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0a06
   9 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a7a
   9 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9993
   9 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9830
   9 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9712
   9 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6759
   8 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a12
   8 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1200
   8 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0640
   8 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9834
   8 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9649
   8 AdapterVendorID: 0x1002, AdapterDeviceID: 0x68e4
   7 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1184
   7 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1040
   7 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0de1
   7 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0dc4
   7 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9807
   7 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6841
   7 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6742
   6 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0162
   6 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1380
   6 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1201
   6 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1004
   6 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0de0
   6 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0ca5
   6 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0ca2
   6 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a23
   6 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0615
   6 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9904
   6 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9808
   6 AdapterVendorID: 0x1002, AdapterDeviceID: 0x683d
   6 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6810
   6 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6741
   5 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1180
   5 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1050
   5 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0ffa
   5 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0df4
   5 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a29
   5 AdapterVendorID: 0x1002, AdapterDeviceID: 0x990f
   5 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9903
   5 AdapterVendorID: 0x1002, AdapterDeviceID: 0x68e1
   5 AdapterVendorID: 0x1002, AdapterDeviceID: 0x683f
   5 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6798
   4 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1244
   4 AdapterVendorID: 0x10de, AdapterDeviceID: 0x11c6
   4 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1183
   4 AdapterVendorID: 0x10de, AdapterDeviceID: 0x10c5
