 366 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 00000000, AdapterDriverVersion: 8.15.10.2104
 234 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 00000000, AdapterDriverVersion: 8.15.10.2869
 150 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 00000000, AdapterDriverVersion: 8.15.10.1851
  95 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 00000000, AdapterDriverVersion: 8.15.10.2555
  81 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 57568086, AdapterDriverVersion: 8.15.10.1883
  79 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 2e321849, AdapterDriverVersion: 8.15.10.1892
  71 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a02, AdapterSubsysID: 00000000, AdapterDriverVersion: 8.15.10.1749
  69 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a02, AdapterSubsysID: 01f91028, AdapterDriverVersion: 8.15.10.1749
  66 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 2e328086, AdapterDriverVersion: 8.15.10.2869
  61 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a12, AdapterSubsysID: 308a103c, AdapterDriverVersion: 8.15.10.1749
  52 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a02, AdapterSubsysID: 30d9103c, AdapterDriverVersion: 8.15.10.1749
  51 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a02, AdapterSubsysID: 022f1028, AdapterDriverVersion: 8.15.10.1749
  40 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 00000000, AdapterDriverVersion: 8.15.10.2302
  38 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 31031565, AdapterDriverVersion: 8.15.10.2102
  35 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 2e321849, AdapterDriverVersion: 8.15.10.2869
  29 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 2e328086, AdapterDriverVersion: 8.15.10.1883
  28 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 110a1565, AdapterDriverVersion: 8.15.10.2102
  27 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 75921462, AdapterDriverVersion: 8.15.10.2869
