2133 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32
 590 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a02
 213 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116
 201 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0046
 163 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166
 140 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0106
 131 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a42
 118 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0102
  90 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0a16
  87 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a12
  66 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0152
  51 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0042
  48 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0f31
  47 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6760
  45 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a65
  43 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0156
  37 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e22
  35 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0126
  33 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0416
  28 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e12
  26 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a23
  21 AdapterVendorID: 0x8086, AdapterDeviceID: 0x1616
  20 Cisco VPN
  20 AdapterVendorID: 0x8086, AdapterDeviceID: 0x041e
  18 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0402
  18 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9806
  17 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2982
  16 AdapterVendorID: 0x1002, AdapterDeviceID: 0x68f9
  15 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1187
  15 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9802
  14 DriverVersionMismatch
  14 AdapterVendorID: 0x1002, AdapterDeviceID: 0x68e0
  13 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0ca3
  12 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1200
  12 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a20
  12 AdapterVendorID: 0x1002, AdapterDeviceID: 0x68e4
  11 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0412
  11 AdapterVendorID: 0x10de, AdapterDeviceID: 0x10c3
  11 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6740
